"DATE","TIME PERIOD","Japanese yen/Euro ECB reference exchange rate (EXR.D.JPY.EUR.SP00.A)"
"2024-03-12","12 Mar 2024","161.39"
"2024-03-13","13 Mar 2024","161.83"
"2024-03-14","14 Mar 2024","161.70"
"2024-03-15","15 Mar 2024","162.03"
"2024-03-18","18 Mar 2024","162.51"
"2024-03-19","19 Mar 2024","163.37"
"2024-03-20","20 Mar 2024","164.54"
"2024-03-21","21 Mar 2024","164.96"
"2024-03-22","22 Mar 2024","163.74"
"2024-03-25","25 Mar 2024","163.78"
"2024-03-26","26 Mar 2024","164.40"
"2024-03-27","27 Mar 2024","163.52"
"2024-03-28","28 Mar 2024","163.45"
"2024-04-02","02 Apr 2024","163.01"
"2024-04-03","03 Apr 2024","163.66"
"2024-04-04","04 Apr 2024","164.69"
"2024-04-05","05 Apr 2024","164.10"
"2024-04-08","08 Apr 2024","164.43"
"2024-04-09","09 Apr 2024","164.97"
"2024-04-10","10 Apr 2024","164.89"
"2024-04-11","11 Apr 2024","164.18"
"2024-04-12","12 Apr 2024","163.16"
"2024-04-15","15 Apr 2024","164.05"
"2024-04-16","16 Apr 2024","164.54"
"2024-04-17","17 Apr 2024","164.54"
"2024-04-18","18 Apr 2024","164.82"
"2024-04-19","19 Apr 2024","164.68"
"2024-04-22","22 Apr 2024","164.51"
"2024-04-23","23 Apr 2024","165.23"
"2024-04-24","24 Apr 2024","165.57"
"2024-04-25","25 Apr 2024","166.76"
"2024-04-26","26 Apr 2024","168.03"
"2024-04-29","29 Apr 2024","167.53"
"2024-04-30","30 Apr 2024","168.27"
"2024-05-02","02 May 2024","165.63"
"2024-05-03","03 May 2024","164.62"
"2024-05-06","06 May 2024","165.70"
"2024-05-07","07 May 2024","166.45"
"2024-05-08","08 May 2024","167.15"
"2024-05-09","09 May 2024","167.32"
"2024-05-10","10 May 2024","167.87"
"2024-05-13","13 May 2024","168.25"
"2024-05-14","14 May 2024","168.89"
"2024-05-15","15 May 2024","168.43"
"2024-05-16","16 May 2024","168.33"
"2024-05-17","17 May 2024","168.96"
"2024-05-20","20 May 2024","169.25"
"2024-05-21","21 May 2024","169.86"
"2024-05-22","22 May 2024","169.54"
"2024-05-23","23 May 2024","169.90"
"2024-05-24","24 May 2024","170.28"
"2024-05-27","27 May 2024","170.07"
"2024-05-28","28 May 2024","170.54"
"2024-05-29","29 May 2024","170.74"
"2024-05-30","30 May 2024","169.50"
"2024-05-31","31 May 2024","170.52"
"2024-06-03","03 Jun 2024","170.09"
"2024-06-04","04 Jun 2024","168.29"
"2024-06-05","05 Jun 2024","169.72"
"2024-06-06","06 Jun 2024","169.74"
"2024-06-07","07 Jun 2024","169.52"
"2024-06-10","10 Jun 2024","168.74"
"2024-06-11","11 Jun 2024","168.46"
"2024-06-12","12 Jun 2024","169.35"
"2024-06-13","13 Jun 2024","169.58"
"2024-06-14","14 Jun 2024","167.80"
"2024-06-17","17 Jun 2024","169.11"
"2024-06-18","18 Jun 2024","169.41"
"2024-06-19","19 Jun 2024","169.78"
"2024-06-20","20 Jun 2024","169.82"
"2024-06-21","21 Jun 2024","169.82"
"2024-06-24","24 Jun 2024","171.17"
"2024-06-25","25 Jun 2024","170.84"
"2024-06-26","26 Jun 2024","171.42"
"2024-06-27","27 Jun 2024","171.66"
"2024-06-28","28 Jun 2024","171.94"
"2024-07-01","01 Jul 2024","173.15"
"2024-07-02","02 Jul 2024","173.31"
"2024-07-03","03 Jul 2024","174.18"
"2024-07-04","04 Jul 2024","173.84"
"2024-07-05","05 Jul 2024","174.06"
"2024-07-08","08 Jul 2024","174.37"
"2024-07-09","09 Jul 2024","174.20"
"2024-07-10","10 Jul 2024","174.79"
"2024-07-11","11 Jul 2024","175.39"
"2024-07-12","12 Jul 2024","172.87"
"2024-07-15","15 Jul 2024","172.34"
"2024-07-16","16 Jul 2024","172.65"
"2024-07-17","17 Jul 2024","171.21"
"2024-07-18","18 Jul 2024","171.02"
"2024-07-19","19 Jul 2024","171.61"
"2024-07-22","22 Jul 2024","170.80"
"2024-07-23","23 Jul 2024","169.64"
"2024-07-24","24 Jul 2024","167.23"
"2024-07-25","25 Jul 2024","165.62"
"2024-07-26","26 Jul 2024","167.84"
"2024-07-29","29 Jul 2024","166.44"
"2024-07-30","30 Jul 2024","167.61"
"2024-07-31","31 Jul 2024","162.76"
"2024-08-01","01 Aug 2024","162.66"
"2024-08-02","02 Aug 2024","161.37"
"2024-08-05","05 Aug 2024","155.98"
"2024-08-06","06 Aug 2024","158.29"
"2024-08-07","07 Aug 2024","160.62"
"2024-08-08","08 Aug 2024","159.74"
"2024-08-09","09 Aug 2024","160.33"
"2024-08-12","12 Aug 2024","161.25"
"2024-08-13","13 Aug 2024","161.17"
"2024-08-14","14 Aug 2024","161.98"
"2024-08-15","15 Aug 2024","162.14"
"2024-08-16","16 Aug 2024","162.72"
"2024-08-19","19 Aug 2024","161.22"
"2024-08-20","20 Aug 2024","162.18"
"2024-08-21","21 Aug 2024","162.26"
"2024-08-22","22 Aug 2024","162.64"
"2024-08-23","23 Aug 2024","162.37"
"2024-08-26","26 Aug 2024","160.94"
"2024-08-27","27 Aug 2024","161.24"
"2024-08-28","28 Aug 2024","160.57"
"2024-08-29","29 Aug 2024","160.36"
"2024-08-30","30 Aug 2024","161.19"
"2024-09-02","02 Sep 2024","162.56"
"2024-09-03","03 Sep 2024","161.26"
"2024-09-04","04 Sep 2024","160.26"
"2024-09-05","05 Sep 2024","159.20"
"2024-09-06","06 Sep 2024","158.93"
"2024-09-09","09 Sep 2024","158.53"
"2024-09-10","10 Sep 2024","157.81"
"2024-09-11","11 Sep 2024","156.60"
"2024-09-12","12 Sep 2024","157.02"
"2024-09-13","13 Sep 2024","156.17"
"2024-09-16","16 Sep 2024","155.66"
"2024-09-17","17 Sep 2024","156.71"
"2024-09-18","18 Sep 2024","157.94"
"2024-09-19","19 Sep 2024","159.53"
"2024-09-20","20 Sep 2024","161.08"
"2024-09-23","23 Sep 2024","159.58"
"2024-09-24","24 Sep 2024","160.14"
"2024-09-25","25 Sep 2024","161.49"
"2024-09-26","26 Sep 2024","160.78"
"2024-09-27","27 Sep 2024","159.63"
"2024-09-30","30 Sep 2024","159.82"
"2024-10-01","01 Oct 2024","159.37"
"2024-10-02","02 Oct 2024","160.26"
"2024-10-03","03 Oct 2024","161.98"
"2024-10-04","04 Oct 2024","161.69"
"2024-10-07","07 Oct 2024","162.63"
"2024-10-08","08 Oct 2024","162.49"
"2024-10-09","09 Oct 2024","162.97"
"2024-10-10","10 Oct 2024","162.85"
"2024-10-11","11 Oct 2024","162.94"
"2024-10-14","14 Oct 2024","163.39"
"2024-10-15","15 Oct 2024","162.85"
"2024-10-16","16 Oct 2024","162.57"
"2024-10-17","17 Oct 2024","162.50"
"2024-10-18","18 Oct 2024","162.75"
"2024-10-21","21 Oct 2024","162.79"
"2024-10-22","22 Oct 2024","163.22"
"2024-10-23","23 Oct 2024","164.66"
"2024-10-24","24 Oct 2024","164.12"
"2024-10-25","25 Oct 2024","164.45"
"2024-10-28","28 Oct 2024","165.18"
"2024-10-29","29 Oct 2024","165.66"
"2024-10-30","30 Oct 2024","165.91"
"2024-10-31","31 Oct 2024","166.30"
"2024-11-01","01 Nov 2024","165.54"
"2024-11-04","04 Nov 2024","165.47"
"2024-11-05","05 Nov 2024","165.93"
"2024-11-06","06 Nov 2024","165.05"
"2024-11-07","07 Nov 2024","165.71"
"2024-11-08","08 Nov 2024","164.18"
"2024-11-11","11 Nov 2024","163.82"
"2024-11-12","12 Nov 2024","163.71"
"2024-11-13","13 Nov 2024","164.71"
"2024-11-14","14 Nov 2024","164.24"
"2024-11-15","15 Nov 2024","164.36"
"2024-11-18","18 Nov 2024","163.74"
"2024-11-19","19 Nov 2024","162.71"
"2024-11-20","20 Nov 2024","164.42"
"2024-11-21","21 Nov 2024","162.53"
"2024-11-22","22 Nov 2024","160.84"
"2024-11-25","25 Nov 2024","161.64"
"2024-11-26","26 Nov 2024","161.13"
"2024-11-27","27 Nov 2024","159.65"
"2024-11-28","28 Nov 2024","159.89"
"2024-11-29","29 Nov 2024","158.64"
"2024-12-02","02 Dec 2024","157.74"
"2024-12-03","03 Dec 2024","157.30"
"2024-12-04","04 Dec 2024","158.59"
"2024-12-05","05 Dec 2024","158.52"
"2024-12-06","06 Dec 2024","159.25"
"2024-12-09","09 Dec 2024","159.40"
"2024-12-10","10 Dec 2024","159.74"
"2024-12-11","11 Dec 2024","160.35"
"2024-12-12","12 Dec 2024","159.60"
"2024-12-13","13 Dec 2024","161.45"
"2024-12-16","16 Dec 2024","161.73"
"2024-12-17","17 Dec 2024","161.63"
"2024-12-18","18 Dec 2024","161.52"
"2024-12-19","19 Dec 2024","163.07"
"2024-12-20","20 Dec 2024","162.89"
"2024-12-23","23 Dec 2024","163.36"
"2024-12-24","24 Dec 2024","163.25"
"2024-12-27","27 Dec 2024","164.65"
"2024-12-30","30 Dec 2024","164.57"
"2024-12-31","31 Dec 2024","163.06"


"2025-01-02","02 Jan 2025","162.04"
"2025-01-03","03 Jan 2025","161.77"
"2025-01-06","06 Jan 2025","163.25"
"2025-01-07","07 Jan 2025","163.86"
"2025-01-08","08 Jan 2025","162.94"
"2025-01-09","09 Jan 2025","162.56"
"2025-01-10","10 Jan 2025","162.86"
"2025-01-13","13 Jan 2025","160.22"
"2025-01-14","14 Jan 2025","161.63"
"2025-01-15","15 Jan 2025","161.75"
"2025-01-16","16 Jan 2025","160.46"
"2025-01-17","17 Jan 2025","160.23"
"2025-01-20","20 Jan 2025","161.36"
"2025-01-21","21 Jan 2025","161.26"
"2025-01-22","22 Jan 2025","162.72"
"2025-01-23","23 Jan 2025","162.58"
"2025-01-24","24 Jan 2025","163.90"
"2025-01-27","27 Jan 2025","162.21"
"2025-01-28","28 Jan 2025","161.86"
"2025-01-29","29 Jan 2025","161.50"
"2025-01-30","30 Jan 2025","160.32"
"2025-01-31","31 Jan 2025","160.99"
"2025-02-03","03 Feb 2025","158.87"
"2025-02-04","04 Feb 2025","160.52"
"2025-02-05","05 Feb 2025","159.25"
"2025-02-06","06 Feb 2025","157.95"
"2025-02-07","07 Feb 2025","157.77"
"2025-02-10","10 Feb 2025","156.92"
"2025-02-11","11 Feb 2025","157.28"
"2025-02-12","12 Feb 2025","159.22"
"2025-02-13","13 Feb 2025","159.79"
"2025-02-14","14 Feb 2025","160.09"
"2025-02-17","17 Feb 2025","158.67"
"2025-02-18","18 Feb 2025","158.55"
"2025-02-19","19 Feb 2025","158.41"
"2025-02-20","20 Feb 2025","156.60"
"2025-02-21","21 Feb 2025","157.46"
"2025-02-24","24 Feb 2025","156.81"
"2025-02-25","25 Feb 2025","157.19"
"2025-02-26","26 Feb 2025","156.70"
"2025-02-27","27 Feb 2025","156.73"
"2025-02-28","28 Feb 2025","156.96"
"2025-03-03","03 Mar 2025","158.33"
"2025-03-04","04 Mar 2025","156.50"
"2025-03-05","05 Mar 2025","160.09"
"2025-03-06","06 Mar 2025","159.24"
"2025-03-07","07 Mar 2025","160.35"
"2025-03-10","10 Mar 2025","159.39"
"2025-03-11","11 Mar 2025","161.52"
"2025-03-12","12 Mar 2025","162.23"
"2025-03-13","13 Mar 2025","160.64"
"2025-03-14","14 Mar 2025","161.88"
"2025-03-17","17 Mar 2025","162.26"
"2025-03-18","18 Mar 2025","163.50"
"2025-03-19","19 Mar 2025","163.27"
"2025-03-20","20 Mar 2025","160.85"
"2025-03-21","21 Mar 2025","160.99"
"2025-03-24","24 Mar 2025","162.15"
"2025-03-25","25 Mar 2025","162.32"
"2025-03-26","26 Mar 2025","162.20"
"2025-03-27","27 Mar 2025","162.55"
"2025-03-28","28 Mar 2025","162.64"
"2025-03-31","31 Mar 2025","161.60"
"2025-04-01","01 Apr 2025","160.93"
"2025-04-02","02 Apr 2025","161.22"
"2025-04-03","03 Apr 2025","162.17"
"2025-04-04","04 Apr 2025","160.56"
"2025-04-07","07 Apr 2025","160.58"
"2025-04-08","08 Apr 2025","160.65"
"2025-04-09","09 Apr 2025","159.61"
"2025-04-10","10 Apr 2025","161.28"
"2025-04-11","11 Apr 2025","162.07"
"2025-04-14","14 Apr 2025","162.97"
"2025-04-15","15 Apr 2025","161.85"
"2025-04-16","16 Apr 2025","162.09"
"2025-04-17","17 Apr 2025","161.98"
"2025-04-22","22 Apr 2025","161.05"
"2025-04-23","23 Apr 2025","161.68"
"2025-04-24","24 Apr 2025","162.16"
"2025-04-25","25 Apr 2025","162.80"
"2025-04-28","28 Apr 2025","162.80"
"2025-04-29","29 Apr 2025","162.28"
"2025-04-30","30 Apr 2025","162.68"
"2025-05-02","02 May 2025","163.93"
"2025-05-05","05 May 2025","163.19"
"2025-05-06","06 May 2025","161.64"
"2025-05-07","07 May 2025","162.89"
"2025-05-08","08 May 2025","163.45"
"2025-05-09","09 May 2025","163.36"
"2025-05-12","12 May 2025","164.46"
"2025-05-13","13 May 2025","164.61"
"2025-05-14","14 May 2025","164.01"
"2025-05-15","15 May 2025","163.30"
"2025-05-16","16 May 2025","163.05"
"2025-05-19","19 May 2025","163.26"
"2025-05-20","20 May 2025","162.59"
"2025-05-21","21 May 2025","162.76"
"2025-05-22","22 May 2025","162.19"
"2025-05-23","23 May 2025","161.13"
"2025-05-26","26 May 2025","162.63"
"2025-05-27","27 May 2025","163.72"
"2025-05-28","28 May 2025","163.43"
"2025-05-29","29 May 2025","163.47"
"2025-05-30","30 May 2025","162.96"
"2025-06-02","02 Jun 2025","162.98"
"2025-06-03","03 Jun 2025","163.00"
"2025-06-04","04 Jun 2025","164.15"
"2025-06-05","05 Jun 2025","163.66"
"2025-06-06","06 Jun 2025","164.62"
"2025-06-09","09 Jun 2025","164.88"
"2025-06-10","10 Jun 2025","165.23"
"2025-06-11","11 Jun 2025","166.17"
"2025-06-12","12 Jun 2025","166.64"
"2025-06-13","13 Jun 2025","165.94"
"2025-06-16","16 Jun 2025","166.89"
"2025-06-17","17 Jun 2025","167.35"
"2025-06-18","18 Jun 2025","166.67"
"2025-06-19","19 Jun 2025","167.20"
"2025-06-20","20 Jun 2025","167.67"
"2025-06-23","23 Jun 2025","169.27"
"2025-06-24","24 Jun 2025","168.27"
"2025-06-25","25 Jun 2025","169.07"
"2025-06-26","26 Jun 2025","168.92"
"2025-06-27","27 Jun 2025","169.24"
"2025-06-30","30 Jun 2025","169.17"
"2025-07-01","01 Jul 2025","168.70"
"2025-07-02","02 Jul 2025","169.45"
"2025-07-03","03 Jul 2025","169.58"
"2025-07-04","04 Jul 2025","169.92"
"2025-07-07","07 Jul 2025","170.71"
"2025-07-08","08 Jul 2025","171.70"
"2025-07-09","09 Jul 2025","171.63"
"2025-07-10","10 Jul 2025","171.33"
"2025-07-11","11 Jul 2025","171.81"
"2025-07-14","14 Jul 2025","172.27"
"2025-07-15","15 Jul 2025","172.58"
"2025-07-16","16 Jul 2025","172.56"
"2025-07-17","17 Jul 2025","172.28"
"2025-07-18","18 Jul 2025","172.94"
"2025-07-21","21 Jul 2025","172.02"
"2025-07-22","22 Jul 2025","172.17"
"2025-07-23","23 Jul 2025","171.53"
"2025-07-24","24 Jul 2025","172.22"
"2025-07-25","25 Jul 2025","173.11"
"2025-07-28","28 Jul 2025","172.65"
"2025-07-29","29 Jul 2025","171.58"
"2025-07-30","30 Jul 2025","170.96"
"2025-07-31","31 Jul 2025","171.52"
"2025-08-01","01 Aug 2025","171.61"
"2025-08-04","04 Aug 2025","170.45"
"2025-08-05","05 Aug 2025","170.42"
"2025-08-06","06 Aug 2025","171.22"
"2025-08-07","07 Aug 2025","171.60"
"2025-08-08","08 Aug 2025","172.18"
"2025-08-11","11 Aug 2025","171.86"
"2025-08-12","12 Aug 2025","172.30"
"2025-08-13","13 Aug 2025","172.47"
"2025-08-14","14 Aug 2025","171.30"
"2025-08-15","15 Aug 2025","171.81"
"2025-08-18","18 Aug 2025","172.27"
"2025-08-19","19 Aug 2025","172.67"
"2025-08-20","20 Aug 2025","171.77"
"2025-08-21","21 Aug 2025","172.09"
"2025-08-22","22 Aug 2025","172.60"
"2025-08-25","25 Aug 2025","172.36"
"2025-08-26","26 Aug 2025","171.77"
"2025-08-27","27 Aug 2025","171.63"
"2025-08-28","28 Aug 2025","171.48"
"2025-08-29","29 Aug 2025","171.72"
"2025-09-01","01 Sep 2025","172.47"
"2025-09-02","02 Sep 2025","173.10"
"2025-09-03","03 Sep 2025","173.17"
"2025-09-04","04 Sep 2025","172.76"
"2025-09-05","05 Sep 2025","173.09"
"2025-09-08","08 Sep 2025","173.39"
"2025-09-09","09 Sep 2025","172.36"
"2025-09-10","10 Sep 2025","172.67"
"2025-09-11","11 Sep 2025","172.88"
"2025-09-12","12 Sep 2025","173.33"
"2025-09-15","15 Sep 2025","173.38"
"2025-09-16","16 Sep 2025","173.55"
"2025-09-17","17 Sep 2025","173.28"
"2025-09-18","18 Sep 2025","174.24"
"2025-09-19","19 Sep 2025","173.79"
"2025-09-22","22 Sep 2025","174.17"
"2025-09-23","23 Sep 2025","174.30"
"2025-09-24","24 Sep 2025","174.51"
"2025-09-25","25 Sep 2025","174.70"
"2025-09-26","26 Sep 2025","174.79"
"2025-09-29","29 Sep 2025","174.38"
"2025-09-30","30 Sep 2025","173.76"
"2025-10-01","01 Oct 2025","172.47"
"2025-10-02","02 Oct 2025","172.53"
"2025-10-03","03 Oct 2025","172.90"
"2025-10-06","06 Oct 2025","175.22"
"2025-10-07","07 Oct 2025","176.05"
"2025-10-08","08 Oct 2025","177.53"
"2025-10-09","09 Oct 2025","177.40"
"2025-10-10","10 Oct 2025","176.46"
"2025-10-13","13 Oct 2025","175.98"
"2025-10-14","14 Oct 2025","175.72"
"2025-10-15","15 Oct 2025","176.13"
"2025-10-16","16 Oct 2025","176.23"
"2025-10-17","17 Oct 2025","175.70"
"2025-10-20","20 Oct 2025","175.71"
"2025-10-21","21 Oct 2025","176.45"
"2025-10-22","22 Oct 2025","175.92"
"2025-10-23","23 Oct 2025","176.94"
"2025-10-24","24 Oct 2025","177.55"
"2025-10-27","27 Oct 2025","177.93"
"2025-10-28","28 Oct 2025","177.11"
"2025-10-29","29 Oct 2025","177.07"
"2025-10-30","30 Oct 2025","178.37"
"2025-10-31","31 Oct 2025","178.14"
"2025-11-03","03 Nov 2025","177.57"
"2025-11-04","04 Nov 2025","176.39"
"2025-11-05","05 Nov 2025","176.67"
"2025-11-06","06 Nov 2025","177.15"
"2025-11-07","07 Nov 2025","176.99"
"2025-11-10","10 Nov 2025","178.31"
"2025-11-11","11 Nov 2025","178.46"
"2025-11-12","12 Nov 2025","179.19"
"2025-11-13","13 Nov 2025","179.57"
"2025-11-14","14 Nov 2025","179.22"
"2025-11-17","17 Nov 2025","179.57"
"2025-11-18","18 Nov 2025","179.94"
"2025-11-19","19 Nov 2025","180.85"
"2025-11-20","20 Nov 2025","181.47"
"2025-11-21","21 Nov 2025","180.56"
"2025-11-24","24 Nov 2025","181.22"
"2025-11-25","25 Nov 2025","180.42"
"2025-11-26","26 Nov 2025","181.09"
"2025-11-27","27 Nov 2025","181.11"
"2025-11-28","28 Nov 2025","180.57"
"2025-12-01","01 Dec 2025","180.28"
"2025-12-02","02 Dec 2025","181.26"
"2025-12-03","03 Dec 2025","181.28"
"2025-12-04","04 Dec 2025","180.55"
"2025-12-05","05 Dec 2025","180.76"
"2025-12-08","08 Dec 2025","181.29"
"2025-12-09","09 Dec 2025","181.96"
"2025-12-10","10 Dec 2025","182.32"
"2025-12-11","11 Dec 2025","182.25"
"2025-12-12","12 Dec 2025","182.99"
"2025-12-15","15 Dec 2025","182.32"
"2025-12-16","16 Dec 2025","182.07"
"2025-12-17","17 Dec 2025","182.38"
"2025-12-18","18 Dec 2025","182.55"
"2025-12-19","19 Dec 2025","184.15"
"2025-12-22","22 Dec 2025","184.77"
"2025-12-23","23 Dec 2025","183.89"
"2025-12-24","24 Dec 2025","183.83"
"2025-12-29","29 Dec 2025","183.97"
"2025-12-30","30 Dec 2025","183.48"
"2025-12-31","31 Dec 2025","184.09"


"2026-01-02","02 Jan 2026","183.94"
"2026-01-05","05 Jan 2026","182.93"
"2026-01-06","06 Jan 2026","183.14"
"2026-01-07","07 Jan 2026","182.91"
"2026-01-08","08 Jan 2026","182.97"
"2026-01-09","09 Jan 2026","183.52"
"2026-01-12","12 Jan 2026","184.42"
"2026-01-13","13 Jan 2026","185.12"
"2026-01-14","14 Jan 2026","184.82"
"2026-01-15","15 Jan 2026","184.31"
"2026-01-16","16 Jan 2026","183.67"
"2026-01-19","19 Jan 2026","183.69"
"2026-01-20","20 Jan 2026","185.18"
"2026-01-21","21 Jan 2026","185.23"
"2026-01-22","22 Jan 2026","185.88"
"2026-01-23","23 Jan 2026","185.71"
"2026-01-26","26 Jan 2026","182.52"
"2026-01-27","27 Jan 2026","182.92"
"2026-01-28","28 Jan 2026","182.76"
"2026-01-29","29 Jan 2026","183.48"
"2026-01-30","30 Jan 2026","183.59"
"2026-02-02","02 Feb 2026","183.59"
"2026-02-03","03 Feb 2026","183.92"
"2026-02-04","04 Feb 2026","185.15"
"2026-02-05","05 Feb 2026","185.11"
"2026-02-06","06 Feb 2026","185.27"
"2026-02-09","09 Feb 2026","185.65"
"2026-02-10","10 Feb 2026","184.51"
"2026-02-11","11 Feb 2026","182.79"
"2026-02-12","12 Feb 2026","182.52"
"2026-02-13","13 Feb 2026","181.83"
"2026-02-16","16 Feb 2026","181.79"
"2026-02-17","17 Feb 2026","181.06"
"2026-02-18","18 Feb 2026","181.99"
"2026-02-19","19 Feb 2026","182.05"
"2026-02-20","20 Feb 2026","182.63"
"2026-02-23","23 Feb 2026","182.44"
"2026-02-24","24 Feb 2026","183.53"
"2026-02-25","25 Feb 2026","184.70"
"2026-02-26","26 Feb 2026","184.37"
"2026-02-27","27 Feb 2026","184.13"
"2026-03-02","02 Mar 2026","184.19"
"2026-03-03","03 Mar 2026","182.98"
"2026-03-04","04 Mar 2026","183.02"
"2026-03-05","05 Mar 2026","183.03"
"2026-03-06","06 Mar 2026","182.57"
"2026-03-09","09 Mar 2026","183.15"
"2026-03-10","10 Mar 2026","183.67"
"2026-03-11","11 Mar 2026","183.63"
"2026-03-12","12 Mar 2026","183.43"
"2026-03-13","13 Mar 2026","182.85"
"2026-03-16","16 Mar 2026","182.66"
"2026-03-17","17 Mar 2026","183.29"
"2026-03-18","18 Mar 2026","183.49"
"2026-03-19","19 Mar 2026","182.46"
"2026-03-20","20 Mar 2026","183.46"
"2026-03-23","23 Mar 2026","183.86"
"2026-03-24","24 Mar 2026","183.91"
"2026-03-25","25 Mar 2026","184.27"
"2026-03-26","26 Mar 2026","184.19"
"2026-03-27","27 Mar 2026","184.16"
"2026-03-30","30 Mar 2026","183.12"
"2026-03-31","31 Mar 2026","183.39"
"2026-04-01","01 Apr 2026","183.73"
"2026-04-02","02 Apr 2026","183.94"
"2026-04-07","07 Apr 2026","184.73"
"2026-04-08","08 Apr 2026","185.13"
"2026-04-09","09 Apr 2026","185.70"
"2026-04-10","10 Apr 2026","186.43"
"2026-04-13","13 Apr 2026","186.75"
"2026-04-14","14 Apr 2026","187.33"
"2026-04-15","15 Apr 2026","187.41"
"2026-04-16","16 Apr 2026","187.31"
"2026-04-17","17 Apr 2026","187.72"
"2026-04-20","20 Apr 2026","186.88"
"2026-04-21","21 Apr 2026","187.14"
"2026-04-22","22 Apr 2026","186.81"
"2026-04-23","23 Apr 2026","186.50"
"2026-04-24","24 Apr 2026","186.71"
"2026-04-27","27 Apr 2026","187.06"
